address,district,neighbourhood,property_type,bedrooms,house_age_years,distance_to_western_km,price,listing_url
"52-1600 Mickleborough Drive, London North, ON",London North,North I,Townhouse,4.0,23.0,3.95,432888,https://www.zolo.ca/london-north-real-estate/1600-mickleborough-drive/52
"143-166 Southdale Road W, London South, ON",London South,South O,Townhouse,3.0,,7.67,324900,https://www.zolo.ca/london-south-real-estate/166-southdale-road-west/143
"103 Mcclary Avenue, London South, ON",London South,South F,Townhouse,4.0,,5.26,499900,https://www.zolo.ca/london-south-real-estate/103-mcclary-avenue
"27 Dengate Crescent, London East, ON",London East,East P,House,2.0,,8.95,639000,https://www.zolo.ca/london-east-real-estate/27-dengate-crescent
"205-435 Colborne Street, London East, ON",London East,East F,Condo,2.0,,3.68,375000,https://www.zolo.ca/london-east-real-estate/435-colborne-street/205
"532-538 Dundas Street, London East, ON",London East,East F,Townhouse,,,3.99,1699000,https://www.zolo.ca/london-east-real-estate/532-538-dundas-street
"403-1705 Fiddlehead Place, London North, ON",London North,North R,Condo,2.0,8.0,2.12,775000,https://www.zolo.ca/london-north-real-estate/1705-fiddlehead-place/403
"304-695 Richmond Street, London East, ON",London East,East F,Condo,1.0,40.0,2.48,339900,https://www.zolo.ca/london-east-real-estate/695-richmond-street/304
"6901 Heathwoods Avenue, London South, ON",London South,South V,Townhouse,3.0,0.0,10.86,594800,https://www.zolo.ca/london-south-real-estate/6901-heathwoods-avenue
"402-626 First Street, London East, ON",London East,East H,Condo,3.0,,6.1,349900,https://www.zolo.ca/london-east-real-estate/626-first-street/402
"28-1478 Adelaide Street N, London North, ON",London North,North H,Townhouse,4.0,,3.03,529900,https://www.zolo.ca/london-north-real-estate/1478-adelaide-street-north/28
"607-549 Ridout Street, London East, ON",London East,East F,Condo,2.0,40.0,2.96,339900,https://www.zolo.ca/london-east-real-estate/549-ridout-street/607
"2503-505 Talbot Street, London East, ON",London East,East F,Condo,3.0,,3.08,639900,https://www.zolo.ca/london-east-real-estate/505-talbot-street/2503
"525 Grosvenor Street, London East, ON",London East,East B,House,6.0,,2.67,649900,https://www.zolo.ca/london-east-real-estate/525-grosvenor-street
"602-695 Richmond Street, London East, ON",London East,East F,Condo,2.0,40.0,2.48,359900,https://www.zolo.ca/london-east-real-estate/695-richmond-street/602
